25,3;33,16;32,91;34,61;31,25;31,15;30,39;33,09;28,85;30,78
26,27;33,83;33,19;33,89;31,13;31,29;32,48;33,98;30,26;30,87
23,92;31,75;30,8;31,57;29,07;29,89;30,64;32,55;28,87;29,68
27,36;34,87;34,45;34,91;32;31,52;33,38;34,51;30,53;31,33
25,39;33,25;32,63;33,19;30,74;31,19;32,07;33,74;30,27;30,95
25,32;33;32,31;32,9;30,37;30,98;31,66;33,47;29,93;30,55
21,56;29,84;29,52;31,8;28,5;28,65;29,07;31,42;26,65;28,61
30,59;37,44;37,52;37,9;34,64;33,22;35,76;36,33;32,41;32,96
19,11;27,04;25,23;26,63;24,41;26,1;27,06;29,81;24,81;26,03
25,43;33,23;32,93;33,38;30,67;31,8;31,53;33,16;30,07;31,03
25,51;33,12;33,14;33,72;30,74;30,81;31,53;32,97;29,34;30,65
20,44;28,21;27,27;29,21;26,33;27;27,77;30,3;25,33;26,98
14,38;22,47;21,01;22,53;20,67;21,79;24,3;26,92;21,32;22,91
26;33,68;33,1;33,83;30,99;31,37;31,8377;33,82;29,54;30,56
24,42;32,74;31,02;31,06;28,84;30,23;29,99;33,42;27;28,48
26,85;34,07;33,72;34,5;31,6;32,43;32,36;33,98;30,83;31,46
26,72;35,17;34,16;33,77;31,3;31,41;32,59;35,11;28,46;29,81
24,49;32,58;31,37;32,21;29,59;30,55;31,2;33,19;29,19;29,43
26,04;34,45;33,13;32,76;30,48;31,13;31,66;34,68;27,95;29,36
