24,52;22,16;22,73;20,99;19,86;19,8;19,97;18,42;19,35;17,73
24,11;22,7;22,84;20,56;19,92;19,95;19,29;18,48;18,46;17,83
27,55;25,68;25,92;23,5;22,84;22,24;21,26;20,79;20,59;19,99
23,01;21,93;21,93;19,71;18,96;19,68;19,1;18,05;18,15;17,08
25,63;24,03;24,23;21,92;21,36;20,91;20,08;19,29;19,3;18,8
25,88;24,2;24,66;22,36;21,69;21,2;20,34;19,82;19,75;19,47
31,17;27,95;28,32;25,85;25,43;23,97;23,25;22,27;22,74;21,72
18,41;17,65;17,69;15,97;15,06;16,57;16,07;14,64;15,09;13,63
36,62;33,43;33,51;31,1;30,28;28,91;26,7;26,27;25,94;25,32
22,78;21,67;22,1;19,78;19,03;19,26;18,78;18,09;18,11;17,34
25,64;24,01;24,74;22,55;21,6;21,72;20,98;20,32;20,48;19,09
33,89;30,58;30,96;28,74;28,02;26,7;25,18;24,35;24,55;23,43
46,75;42,07;41,84;39,98;38,71;37,06;32,91;31,64;32;31,1
22,72;21,11;21,58;19,58;18,83;18,89;18,396;17,58;17,77;17
21,35;19,79;21,12;18,78;18,38;17,54;17,36;17,47;16,98;16,77
22,19;21,01;21,47;19,41;18,71;18,93;18,51;17,65;17,85;17,18
16,84;15,35;16,17;14,54;13,8;14,18;13,72;13,47;13,37;12,92
25,49;23,96;24,01;21,24;20,74;20,33;19,81;19,44;18,96;19,76
17,49;16;17,17;15,31;14,69;14,56;14,21;14,11;13,86;13,57
