11,05;10,14;10,82;9,54;9,1;9,27;9,24;7,75;7,72;7,25
10,5;9,69;10,2;9,02;8,7;9,09;8,74;7,76;7,52;7,19
10,84;9,9;10,38;9,2;8,82;9,27;9,03;8,09;7,63;7,38
9,84;9,18;9,72;8,56;8,23;8,57;8,02;7,03;7;6,72
10,78;10;10,3;9,14;8,82;9,21;8,88;7,97;7,62;7,36
10,81;9,84;10,31;9,15;8,82;9,25;8,98;8,07;7,66;7,51
11,55;10,59;11,08;9,95;9,64;9,67;9,29;7,89;7,88;7,5
9,43;8,76;9,37;8,24;8,04;8,32;7,62;6,65;6,79;6,53
13,05;12,14;12,27;11,3;11,06;11,37;10,57;9,56;9,04;8,97
10;9,25;9,74;8,63;8,21;8,43;8,19;7,03;7,05;6,55
10,26;9,23;9,94;8,81;8,43;8,7;8,34;7,27;7,18;6,88
12,63;11,61;11,94;10,92;10,73;10,85;10,19;8,97;8,72;8,46
16,09;15,51;14,8;14,24;14,26;14,19;12,28;11,34;10,92;11,45
10,43;9,54;10,1;8,95;8,63;8,93;8,5604;7,45;7,38;7
10,22;9,02;9,73;8,55;8,27;8,79;8,34;7,3;7,19;6,78
10,05;9,2;9,75;8,63;8,36;8,6;8,35;7,17;7,19;6,82
9,81;8,8;9,44;8,35;7,98;8,41;7,69;6,84;6,81;6,4
11,13;10,29;10,92;9,66;9,18;9,7;9,56;8,52;8,17;7,77
10,1;8,99;9,63;8,52;8,22;8,68;8,01;7,1;7,05;6,63
